* Bauteilliste aus Datei: "Bezetmelder 8.5.lay6" / 19-8-2020 15:06:45
*
* No	Name	Value	Comment	Package
*
1	C1	100n	SMD	0805
2	C1	100n	SMD	0805
3	C2	100n	SMD	0805
4	C2	100n	SMD	0805
5	C3	100n	SMD	0805
6	C3	100n	SMD	0805
7	C4	100n	SMD	0805
8	C4	100n	SMD	0805
9	C5	100n	SMD	0805
10	C5	100n	SMD	0805
11	C6	100n	SMD	0805
12	C6	100n	SMD	0805
13	C7	100n	SMD	0805
14	C7	100n	SMD	0805
15	C8	100n	SMD	0805
16	C8	100n	SMD	0805
17	C9	100n	SMD	0805
18	C9	100n	SMD	0805
19	G1	DF 04	SMD	---
20	G1	DF 04	SMD	---
21	G2	DF 04	SMD	---
22	G2	DF 04	SMD	---
23	G3	DF 04	SMD	---
24	G3	DF 04	SMD	---
25	G4	DF 04	SMD	---
26	G4	DF 04	SMD	---
27	G5	DF 04	SMD	---
28	G5	DF 04	SMD	---
29	G6	DF 04	SMD	---
30	G6	DF 04	SMD	---
31	G7	DF 04	SMD	---
32	G7	DF 04	SMD	---
33	G8	DF 04	SMD	---
34	G8	DF 04	SMD	---
35	R1	470	SMD	0805
36	R1	470	SMD	0805
37	R2	470	SMD	0805
38	R2	470	SMD	0805
39	R3	470	SMD	0805
40	R3	470	SMD	0805
41	R4	470	SMD	0805
42	R4	470	SMD	0805
43	R5	470	SMD	0805
44	R5	470	SMD	0805
45	R6	470	SMD	0805
46	R6	470	SMD	0805
47	R7	470	SMD	0805
48	R7	470	SMD	0805
49	R8	470	SMD	0805
50	R8	470	SMD	0805
51	R41	10K	SMD	0805
52	R41	10K	SMD	0805
53	R42	10K	SMD	0805
54	R42	10K	SMD	0805
55	R43	10K	SMD	0805
56	R43	10K	SMD	0805
57	R44	10K	SMD	0805
58	R44	10K	SMD	0805
59	R45	10K	SMD	0805
60	R45	10K	SMD	0805
61	R46	10K	SMD	0805
62	R46	10K	SMD	0805
63	R47	10K	SMD	0805
64	R47	10K	SMD	0805
65	R48	10K	SMD	0805
66	R48	10K	SMD	0805
67	R301	10K	SMD	0805
68	R301	10K	SMD	0805
69	R302	10K	SMD	0805
70	R302	10K	SMD	0805
71	R303	100k	SMD	0805
72	R303	100K	SMD	0805
